Order ID,Error
581761399,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581761399 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040e6750>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581761160,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581761160 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b0770>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581756001,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581756001 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104055310>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581755938,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581755938 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1033f0740>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581755701,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581755701 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b5f40>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581754580,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581754580 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b49b0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581753610,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581753610 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b7890>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581753058,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581753058 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b4f80>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581751664,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581751664 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b6ba0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581751025,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581751025 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b5c10>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581746976,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581746976 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b0890>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581746922,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581746922 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104057f20>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581746315,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581746315 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040570b0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581744415,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581744415 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104055ee0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581744374,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581744374 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104057350>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581744025,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581744025 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b04d0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581739783,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581739783 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b68a0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581732580,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581732580 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b7050>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581729709,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581729709 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b7cb0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
